ACCIDENT_NO,LATITUDE,LONGITUDE,LOCATION
T20220000845,-37.705804,145.003326,DAREBIN
T20220000827,-37.583887,143.834612,BALLARAT
T20220000848,-37.810006,145.371164,YARRA RANGES
T20220001115,-38.171,144.345655,GREATER GEELONG
T20220001114,-37.498089,148.18824,EAST GIPPSLAND
T20220000824,-37.808169,145.192664,WHITEHORSE
T20220000791,-36.414108,145.22263,GREATER SHEPPARTON
T20220000795,-38.181001,144.388331,GREATER GEELONG
T20220001215,-37.351487,145.105367,MITCHELL
T20220001048,-37.921831,145.185944,MONASH
T20220000861,-38.223828,145.182735,MORNINGTON PENINSULA
T20220001475,-37.811126,145.006284,YARRA
T20220000909,-38.209153,144.509461,GREATER GEELONG
T20220000904,-37.876276,144.714835,WYNDHAM
T20220000863,-37.884207,144.668092,WYNDHAM
T20220000951,-38.084227,145.432982,CARDINIA
T20220000895,-38.166647,145.936579,BAW BAW
T20220000891,-38.285618,142.310558,MOYNE
T20220000880,-38.07188,145.27001,CASEY
T20220000930,-37.744233,144.799942,BRIMBANK
T20220000875,-37.87262,144.813117,HOBSONS BAY
T20220000888,-36.705833,144.250276,GREATER BENDIGO
T20220000866,-38.342003,144.960022,MORNINGTON PENINSULA
T20220000857,-37.797207,145.126785,MANNINGHAM
T20220000896,-37.82313,145.035255,BOROONDARA
T20220000964,-38.088049,145.164637,FRANKSTON
T20220000884,-38.182302,144.541209,GREATER GEELONG
T20220000977,-38.461704,145.837442,SOUTH GIPPSLAND
T20220001246,-37.669373,144.941786,HUME
T20220001505,-37.623596,146.15295,YARRA RANGES
T20220005234,-36.755246,144.274076,GREATER BENDIGO
T20220000883,-37.600029,144.909626,HUME
T20220000957,-38.338485,142.403592,MOYNE
T20220000970,-38.118923,145.136549,FRANKSTON
T20220000980,-37.786696,145.63692,YARRA RANGES
T20220014997,-37.72126,147.610214,EAST GIPPSLAND
T20220000999,-37.948489,145.192027,GREATER DANDENONG
T20220000920,-37.964646,145.012218,BAYSIDE
T20220001040,-37.722013,144.867067,BRIMBANK
T20220001036,-38.271815,145.547606,CARDINIA
T20220000921,-38.076226,144.347409,GREATER GEELONG
T20220000922,-37.44979,145.109436,WHITTLESEA
T20220000924,-37.945293,145.027709,BAYSIDE
T20220000926,-37.982258,146.416289,BAW BAW
T20220000927,-36.156783,145.86541,MOIRA
T20220000919,-37.75783,145.014535,DAREBIN
T20220000918,-37.638763,143.731622,GOLDEN PLAINS
T20220000937,-38.364739,144.796241,MORNINGTON PENINSULA
T20220000929,-37.64159,144.93653,HUME
T20220000912,-36.556095,145.970741,BENALLA
T20220000911,-37.8738,145.387555,YARRA RANGES
T20220000903,-37.615959,145.017634,WHITTLESEA
T20220000902,-37.804728,144.964734,MELBOURNE
T20220000934,-38.349402,143.402422,CORANGAMITE
T20220001532,-38.068903,145.298459,CASEY
T20220011133,-37.703505,144.801358,BRIMBANK
T20220004911,-36.309084,146.61324,WANGARATTA
T20220000932,-37.819018,145.003568,YARRA
T20220002794,-36.738234,145.933097,BENALLA
T20220020766,-37.88686,145.623923,YARRA RANGES
T20220008176,-37.702052,144.802144,BRIMBANK
T20220000950,-37.826393,145.019249,YARRA
T20220000949,-37.706302,144.928599,MERRI-BEK
T20220000947,-38.069651,145.41287,CARDINIA
T20220000946,-38.076896,145.25872,CASEY
T20220000943,-37.754399,144.955284,MERRI-BEK
T20220000955,-36.446464,147.014586,ALPINE
T20220001002,-37.638116,145.042527,WHITTLESEA
T20220000991,-37.582548,144.939523,HUME
T20220000994,-37.993394,145.106647,KINGSTON
T20220005069,-37.847867,145.229119,KNOX
T20220000995,-37.90765,145.07012,GLEN EIRA
T20220000997,-36.211178,144.24858,LODDON
T20220001010,-37.693318,144.604289,MELTON
T20220001170,-38.114068,146.66785,WELLINGTON
T20220000969,-37.473781,144.974572,MITCHELL
T20220001008,-37.971701,145.107005,KINGSTON
T20220001013,-37.832227,144.989437,STONNINGTON
T20220001057,-37.75839,145.316243,YARRA RANGES
T20220000998,-37.818362,145.104249,WHITEHORSE
T20220001043,-38.184627,144.684013,GREATER GEELONG
T20220001005,-37.787453,144.921418,MELBOURNE
T20220006160,-38.08229,145.276589,CASEY
T20220001045,-37.837286,145.217775,MAROONDAH
T20220001083,-37.822088,147.856491,EAST GIPPSLAND
T20220001001,-37.758954,145.32082,YARRA RANGES
