Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,086338,2023,10,27,19.4,1,Y
IDCJAC0010,086338,2023,10,28,23.3,1,Y
IDCJAC0010,086338,2023,10,29,21.3,1,Y
IDCJAC0010,086338,2023,10,30,23.2,1,Y
IDCJAC0010,086338,2023,10,31,16.0,1,Y
IDCJAC0010,086338,2023,11,01,16.0,1,Y
IDCJAC0010,086338,2023,11,02,16.7,1,Y
IDCJAC0010,086338,2023,11,03,15.9,1,Y
IDCJAC0010,086338,2023,11,04,20.9,1,Y
IDCJAC0010,086338,2023,11,05,23.9,1,Y
IDCJAC0010,086338,2023,11,06,29.8,1,Y
IDCJAC0010,086338,2023,11,07,30.6,1,Y
IDCJAC0010,086338,2023,11,08,30.8,1,Y
IDCJAC0010,086338,2023,11,09,23.2,1,Y
IDCJAC0010,086338,2023,11,10,33.1,1,Y
IDCJAC0010,086338,2023,11,11,19.1,1,Y
IDCJAC0010,086338,2023,11,12,18.2,1,Y
IDCJAC0010,086338,2023,11,13,20.6,1,Y
IDCJAC0010,086338,2023,11,14,16.8,1,Y
IDCJAC0010,086338,2023,11,15,18.2,1,Y
IDCJAC0010,086338,2023,11,16,17.4,1,Y
IDCJAC0010,086338,2023,11,17,17.8,1,Y
IDCJAC0010,086338,2023,11,18,18.8,1,Y
IDCJAC0010,086338,2023,11,19,21.6,1,Y
IDCJAC0010,086338,2023,11,20,19.3,1,Y
IDCJAC0010,086338,2023,11,21,19.0,1,Y
IDCJAC0010,086338,2023,11,22,18.6,1,Y
IDCJAC0010,086338,2023,11,23,26.5,1,Y
IDCJAC0010,086338,2023,11,24,28.7,1,Y
IDCJAC0010,086338,2023,11,25,26.5,1,Y
IDCJAC0010,086338,2023,11,26,19.8,1,Y
IDCJAC0010,086338,2023,11,27,18.5,1,Y
IDCJAC0010,086338,2023,11,28,23.2,1,Y
IDCJAC0010,086338,2023,11,29,19.1,1,Y
IDCJAC0010,086338,2023,11,30,18.8,1,Y
IDCJAC0010,086338,2023,12,01,23.8,1,Y
IDCJAC0010,086338,2023,12,02,16.7,1,Y
IDCJAC0010,086338,2023,12,03,24.3,1,Y
IDCJAC0010,086338,2023,12,04,32.6,1,Y
IDCJAC0010,086338,2023,12,05,24.5,1,Y
IDCJAC0010,086338,2023,12,06,22.7,1,Y
IDCJAC0010,086338,2023,12,07,25.8,1,Y
IDCJAC0010,086338,2023,12,08,33.0,1,Y
IDCJAC0010,086338,2023,12,09,17.9,1,Y
IDCJAC0010,086338,2023,12,10,19.5,1,Y
IDCJAC0010,086338,2023,12,11,20.2,1,Y
IDCJAC0010,086338,2023,12,12,33.2,1,Y
IDCJAC0010,086338,2023,12,13,34.0,1,Y
IDCJAC0010,086338,2023,12,14,25.5,1,Y
IDCJAC0010,086338,2023,12,15,23.4,1,Y
IDCJAC0010,086338,2023,12,16,22.7,1,Y
IDCJAC0010,086338,2023,12,17,25.2,1,Y
IDCJAC0010,086338,2023,12,18,26.2,1,Y
IDCJAC0010,086338,2023,12,19,19.0,1,Y
IDCJAC0010,086338,2023,12,20,20.4,1,Y
IDCJAC0010,086338,2023,12,21,25.7,1,Y
IDCJAC0010,086338,2023,12,22,24.4,1,Y
IDCJAC0010,086338,2023,12,23,22.8,1,Y
IDCJAC0010,086338,2023,12,24,24.2,1,Y
IDCJAC0010,086338,2023,12,25,20.8,1,Y
IDCJAC0010,086338,2023,12,26,24.1,1,Y
IDCJAC0010,086338,2023,12,27,24.0,1,Y
IDCJAC0010,086338,2023,12,28,20.8,1,Y
IDCJAC0010,086338,2023,12,29,20.4,1,Y
IDCJAC0010,086338,2023,12,30,19.0,1,Y
IDCJAC0010,086338,2023,12,31,20.8,1,Y
