ACCIDENT_NO,LATITUDE,LONGITUDE
T20220001342,-38.353274,144.914092
T20230000204,-37.794394,145.126049
T20220001374,-38.367815,144.903795
T20220001372,-36.358576,146.689475
T20220001371,-37.889039,145.221911
T20220001369,-37.969596,145.148786
T20220001368,-36.131864,146.90475
T20220001367,-37.610351,144.325057
T20220001354,-37.782039,145.338536
T20220001380,-38.172276,144.43976
T20220002607,-37.933494,145.037718
T20220001492,-36.700734,144.255747
T20220002053,-38.008069,145.085026
T20220001358,-37.826001,145.287586
T20220001361,-37.526693,143.830758
T20220001471,-37.826216,145.287432
T20220023531,-38.242526,145.564399
T20220002056,-38.432425,143.63878
T20220003247,-37.919056,145.120901
T20220001352,-37.79871,145.60699
T20220001389,-37.715599,144.928326
T20220001364,-37.55886,143.816872
T20220001388,-37.726224,145.024445
T20220001411,-37.75326,145.691139
T20220001387,-37.743892,144.989151
T20220001347,-37.380211,143.971761
T20220001348,-37.77025,145.140896
T20220001349,-38.311434,144.992896
T20220001350,-37.81744,145.249863
T20220001394,-37.99988,145.218229
T20220001577,-36.441294,146.780223
T20220001407,-37.752943,147.857858
T20220001415,-37.804728,144.964734
T20220001748,-38.016242,146.004536
T20220001443,-37.673025,144.852158
T20220003024,-37.834708,144.92641
T20220001964,-37.69671,144.924682
T20220001379,-37.838705,144.738313
T20220001376,-36.742226,144.204157
T20220001667,-36.710402,142.196254
T20220001345,-37.744518,144.863049
T20220001337,-37.664503,144.418102
T20220001412,-38.365188,144.798349
T20220001591,-38.138063,144.316181
T20220001413,-36.379701,146.367869
T20220002061,-37.560761,145.872767
T20220001403,-37.98744,145.117857
T20220001414,-37.774737,144.96083
T20220001734,-37.337393,145.13976
T20220002066,-37.742221,144.792052
T20220001392,-37.863124,144.776776
T20220001416,-37.84769,145.227142
T20220001419,-38.287738,145.614734
T20220001454,-37.964791,145.057164
T20220001450,-37.844065,144.846072
T20220004195,-38.227022,145.126771
T20220001449,-38.353289,145.649056
T20220001724,-37.844751,144.942442
T20220001408,-37.884704,145.127355
T20220001442,-37.823212,144.960831
