ACCIDENT_NO,LATITUDE,LONGITUDE
T20220022932,-37.740099,144.849768
T20220022846,-38.111835,145.283103
T20220022850,-38.091214,144.356717
T20220022852,-37.946196,145.187854
T20220025107,-37.746392,144.839159
T20220022853,-37.80584,145.352804
T20220022854,-37.785987,145.059264
T20220027305,-37.688722,144.925106
T20220022863,-38.106467,145.301376
T20220022974,-38.246277,145.045973
T20220022855,-37.805829,144.88481
T20230017839,-37.648532,144.994853
T20220022897,-37.65647,145.080209
T20220022894,-37.831539,144.966074
T20220022890,-37.826221,147.623894
T20220023020,-38.066945,145.153196
T20220023106,-37.796957,145.291518
T20220022887,-37.800172,144.987243
T20220022936,-37.880317,145.17987
T20220023258,-37.005202,147.085069
T20220022965,-37.860416,145.010488
T20220022859,-37.808182,144.960376
T20220026405,-37.983789,145.220997
T20220024843,-38.153332,145.132661
T20220023082,-37.771333,144.953007
T20220022844,-37.59991,144.713272
T20220022876,-37.576307,145.032862
T20220022875,-38.314435,146.416097
T20220022929,-38.2966,146.526129
T20220022991,-37.856679,145.083368
T20220022838,-37.682028,145.029573
T20220022926,-37.655084,144.573879
T20220022874,-38.069583,145.150141
T20220022924,-37.145822,143.762499
T20220022946,-37.819348,145.022306
T20220022948,-37.795301,145.036282
T20220022982,-37.554418,149.358367
T20220022984,-37.88983,145.066492
T20220022987,-37.737373,144.850184
T20220022990,-37.798241,145.084165
T20220022992,-37.819242,145.088064
T20220022993,-38.400507,146.161627
T20220022994,-36.112447,146.893453
T20220022950,-37.733276,145.000018
T20220024766,-37.689663,144.784379
T20220022995,-37.746391,145.047027
T20220022957,-38.384812,142.533004
T20220022959,-37.990709,145.081351
T20220022960,-37.80748,144.994938
T20220024326,-37.281134,145.550969
T20220023126,-37.954333,145.073073
T20220022996,-37.697883,145.059063
T20220022997,-38.183299,145.991846
T20220022983,-37.807316,144.904012
T20220025408,-37.815308,145.042016
T20220022998,-37.68968,144.982183
T20220023000,-37.8771,144.679327
T20220023002,-36.731123,144.305129
T20220023003,-37.853371,145.043357
T20220023004,-37.843201,145.133967
T20220023011,-37.025384,143.681334
T20220025487,-37.998446,145.275038
T20220023013,-38.18689,144.471333
T20220023014,-38.004479,145.227247
T20220023015,-37.94977,145.18683
T20220023017,-37.800902,144.968406
T20220023987,-37.826722,144.985775
T20220022967,-37.689197,145.112889
T20220022969,-37.957161,145.04941
T20220022980,-37.797223,145.16967
T20220022981,-37.772101,144.919563
T20220024434,-37.019496,145.129043
T20220023021,-38.176901,145.979232
T20220025355,-37.93597,145.187708
T20220023029,-36.328364,146.223571
T20220027361,-37.811046,145.005474
T20220025152,-38.016165,144.461292
T20220022942,-37.788598,144.883094
T20220024802,-36.52768,145.977654
T20220023057,-37.845353,145.022437
T20220023417,-37.971027,145.148489
T20220026909,-37.582015,144.727678
T20220025733,-37.717177,144.663518
T20220024689,-37.794053,144.984878
T20220023513,-36.931843,147.470417
T20220023708,-37.84581,144.994347
T20220026159,-38.136452,145.348163
T20220023086,-37.809996,144.858627
T20220023051,-37.776314,144.891278
T20220023265,-37.807956,144.97541
T20220023072,-37.222225,145.880671
T20220025988,-37.840521,144.977107
T20220023286,-37.804304,144.961804
T20220025855,-37.912931,145.368293
T20220023071,-37.206071,145.384418
T20220023089,-36.369114,142.980894
T20220023210,-37.671153,145.015539
T20220024297,-38.403506,144.960387
T20220023044,-37.912025,145.101775
T20220023039,-37.834002,145.056198
T20220023056,-37.710408,144.756431
T20220023327,-38.099895,146.989456
T20220023064,-38.081649,145.271626
T20220023034,-38.116802,145.191014
T20220023036,-38.147929,144.352524
T20220023459,-38.088354,145.333063
T20220023171,-37.716951,145.04283
T20220023141,-37.711116,144.751836
T20220023038,-38.328265,144.317324
T20220023032,-38.0019,145.236754
T20220023364,-37.621321,145.011842
T20220025620,-37.806293,144.959504
T20220023138,-37.901258,145.044545
T20220023076,-37.566943,143.844829
T20220023208,-37.852502,144.779217
T20220026693,-37.834854,145.172709
T20220023025,-37.658366,144.442449
T20230008638,-37.564983,143.84625
T20220023055,-37.909871,144.751828
T20220023198,-38.006208,145.273224
T20220023716,-37.873009,145.248081
T20220025982,-37.614524,144.88584
T20220026534,-37.095595,144.125969
T20220023083,-37.701304,144.933242
T20220023084,-37.825684,144.99791
T20220028000,-37.79692,145.179582
T20230011695,-37.868158,145.013601
T20220023059,-37.706457,144.919384
T20220023052,-38.417471,143.047027
T20220023058,-37.751534,144.976543
T20220024466,-37.096527,144.290499
T20220023168,-37.713085,145.008204
T20220023376,-37.817201,145.21637
